שם,תפקיד,עיר,תקופה
סעדיה בן יוסף,ראש קהילה,צבירה ־ מרכז תימן,מאה י״ט־כ׳
סעדיה בן יחיא בן זכריה,סופר,ביצ׳א ־ דרום מזרח תימן,מאה י״ט־כ׳
סעדיה בן יעקב,סופר,בית אלגראבי - מרכז תימן,מאה ט״ו
סעדיה בן יעקב,סופר,טוילח - מרכז תימן,מאה ט״ז
סעדיה בן יעקב,סופר,ער אלאעצב,מאה י״ז
סעדיה בן יפת,צגיד,כפר צגד מריח,מאה ט״ו
סעדיה בן מסלם,ריין,איב - דרום תימן,מאה כ׳
סעדיה בן מסעוד,מגדולי חכמי עדן,---,מאה י״ג
סעדיה בן מעודד,סופר,---,מאה ט״ז
סעדיה בן מעודד,ריין,מעבר - מרכז תימן,מאה ט״ז־י״ז
סעדיה בן מעודד,סופר פורה,מעבר - מרכז תימן,אמצע מאה י״ז
סעדיה בן מעודד,מנהיג,מלהא,"מאוח י ""ז"
סעדיה בן מעודד,סופר,---,מאה י״ט
סעדיה בן מרחב,סופר,---,מאה י׳׳ג!
סעדיה בן משה,ראב״ר,חבאן - מזרח תימן,מאה כ׳
סעדיה בן נחום,חכם,אלכלה,מאה י״ז
סעדיה בן נחום,מנהיג,צ׳ראב,מאה <״ח
סעדיה נתן,---,---,---
סעדיה בן עואץ,רב קהילה,חאג׳יב - ארחב,מאה י״ח-י״ט
סעדיה בן עודד,ראב״ד,אחדוף - שרעב וכפר יעבץ,מאה כ׳
סעדיה בן עמרם,מנהיג,מגדלא כוכבאן - מרכז תימן,מאה ט״ז־
סעדיה בן שוכר,חכם■,צנעא ־ רקאבי,מאה י״מ
סעדיה בן שלום,סופר,נגד אלבעאדן,מאה י״ח
סעדיה בן שלום,דיין וראב״ר,רראע,מאה י״ח-י״ט
סעדיה בן שלום,סופר,---,"מאה י ""ט"
סעדיה בן שלום יוסף,דיין,רדאע - חולון,מאה כ׳
סעדיה בן שלום בן שלמה,סופר,עומאן,מאה ט״ז
סעדיה בן שלמה,סופר,---,מאה ט״ז
סעדיה בן שלמה,משורר,מרכז תימן,מאה י״ז
סעדיה בן שלמה,סופר,רדאע,מאה י״ז
סעדיה בן שלמה,חכם,מרכז תימן,"מאה י""ט"
"סרי, שלום בן חיים",חכם ופעיל ציבור,צנעא - ירושלים,מאה י״ט־כ׳
"עאשרי, יהודה בן יחיא",---,---,---
"עאשרי, יעיש בן סעדיה",חכם ומנהיג,מעראץ׳ - ירים,מאת י״ט־כ׳
"עאשרי, יעקב",רב קהילת,מעראץ׳ - ירים,מאה י״ט- כ׳
"עאשרי, משה",ראש קהילה,---,אגבר? מאה י״ט-ב׳
"עאשרי, נסים בן יחיא",ראש הישיבה בעדן,מעראץ׳ - ירים,מאה כ׳
"עאשרי, סעדיה בן דוד",חכם,מרכז תימן,מאה י״ט
"עאשרי, שלום",משורר,צנעא!,מאה י״ז
"עאשרי, שלמה בן משה",ראש קהילה,אגברי - ררום ת*מן,מאה כ׳
"עדוי, יוסף בן עמרם",סופר,עמראן ־ מרכז תימן,מאה י״ז
"עדוי, יעקב בן יצחק",סופר,עמראן - מרכז תימן,מאה י״ז
"עדני, אבן סעד",מנהיג ותורם,ערן־מצרים,מאה י״ב
"עדני, אברהם",מנהיג,גירואח - הרי צעפאן ־ מרכז תימן,מאה י״ט
"עדני, אליהו בן משה",פיטן,תימן- הורו,מאה י״ז
"עדני־חמדי, דוד בן ישע הלוי",---,---,---
"עדני, דוד בן סעדיה",דיין,תימן- מצרים,מאה ט״ז
"עדני, דוד בן עמרם",נגיד תימן וגדול דרשני תימן,עדן,מאה י״ג־י״ד
"עדני, יהודה סאלם",דיין,אלצ׳אלע - דרום תימן,מאה י״ט־כ׳
"עדני, יוסף בן שוכר",סופר,---,מאה י״ט
"עדני, שלמה",ריין,אלצ׳אלע - דרום תימן,מאה י״ט־כ׳
"עדני, שלמה בן יוסף",סופר,---,מאה י״ט־כ׳
"עדני, שלמה בן ישועה",מגדולי חכמי תימן וא״י - בעל מלאכת שלמה,---,מאה ט״ז-י״ז
"עדני, שמואל בן יוסף",חכם ומשכיל,עדן,מאה י״ט־כ׳
"עואמי, סעדיה",---,---,---
עואץ,ראש השוחטים,ערן,מאה י״ט־כ׳
עואץ,דיין,מלחה - דרום תימן,מאה י״ט־כ׳
עואץ בן אהרן,חכם ומקובל,מועציריה-חוגריה,מאה כ׳
עואץ בן אהרן,סופר,---,מאה כ׳
עואץ בן דוד סעדיה,דיין,צ׳אלע - דרום תימן,מאה י״ט־כ׳
עואץ בן חיים,ריין וראב״ד,חרף אלהיגח - חוגריח,מאה כ׳
עואץ בן חיים,ראש קהילה,כוחלאן ־ מרכז תימן,מאה י״ט־כ׳
עואץ חסן,דיין וראב״ד,גחאף - דרום תימן,מאה י״ט־כ׳
עואץ חסן,דיין,נצ׳ארי - איב - דרום תימן,מאה י״ט־כ׳
עואץ בן יוסף,חכם,חדאד - דרום תימן,מאה כ׳
עואץ בן יחיא,מנהיג,---,מאה י״ט
עואץ בן יחיא,דיין,דמת - דרום תימן,מאה י״ט
עואץ בן שלום,סופר,מרכז תימן,מאה י״ט
עואץ שלום,ראש השוחטים בעדן,---,מאה כ׳
"עואץ, שלמה",ראב״ד,רדאע,מאה י״ט
"עואץ, שלמה בן שלמה",סופר,---,"מאה י ""ט"
עובדיה בן שלום,סופר,---,מאה י״ט
עודד בן אברהם,סופר,גוב ~ רחבה - מרכז תימן,מאה י״ז
עודד בן יוסף,סופר,---,מאה י״ט
עודד בן יפת,ראב״ר,בעראן,מאת י״ט־כ
עודד בן ישע,סופר,---,מאה ט״ז-י״ז
עודד בן ישע,הכס,---,מרכז הימן י מאה ט״ז
עודד בן מתנא,מנהיג,צ׳אחרה ־ מרכז תימן,מאה כ׳
עודד בן סעדיה,ריין,אעבד צ׳אפרח,מאה י״וז
עודד בן סעדיה,דיין,די סופל - שרעב,מאה י״ט־כ׳
"עוזרי, אברהם בן משה",מחכמי הישיבה,צנעא,מאה י״ט־כ׳
"עוזרי, אברהם בן סעדיה",סופר,---,מאה ט״ו־ט״ן
"עוזרי, חיים בן אהרן",סופר,מנאכ׳ה - מרכז תימן,מאת י״ט־כ׳
"עוזרי, יוסף בן שלמה",סופר,ררם - צ׳וראב - מרכז תימן,מאה י״ט
"עוזרי, יחיא",---,---,---
"עוזרי, יחיא",חכם,ד׳מאר - רמת עמידר,מאה כ׳
"עוזרי, סעדיה בן יחיא",סופר,סוק צ׳ראב - מרכז תימן,מאה י״ט
"עוזירי, סעדיה בן שלמה",מנהיג,חמרה - מרכז תימן,מאה ט״ז
"עוזרי, עודד בן יוסף",חכם וסופר,אלגרס - ררום תימן,מאה י״ח
"עוזרי, שלום בן יוסף",צדיק וחסיד,מדה,מאה י״ט־כ׳
"עוזרי, שלום בן משה",דיין ומנהיג,אעבאר צ׳אפדח,מאה י״ח
"עוזרי, שלמה בן יחיא",סופר,---,מאה י״ח
"עומיסי, יחיא",חכם,ג׳רואח - מרכז תימן,מאה י״ט
"עומיסי, יחיא בן יחיא",רב ראשי וראב״ד,רדאע - ראשל״צ,מאה כ׳
"עומיסי, משה בן יחיא",מנהיג,ג׳לואח ־ מרכז תימן,מאה י״ט
"עומיסי, עואץ בן משה",---,---,---
"עומיסי, צאלח בן זכריה",---,---,---
"עומיסי, שלום בן צאלח",דיין,גובן-רדאע,מאה י״ט־כ׳
"עורקבי, יחיא",מנהיג,רדאע-מושב תוחלת,מאה כ׳
"עורר, חיים",מקובל,כפר שעב שועיב - שרעב,"מאה י""ט-כ׳"
"עותמה, חסן בן חסן",מנהיג,עותמה - דרום תימן,מאה כ׳
"עזאני, סעדיה",---,---,---
"עזאני, צאלח יחיא",מנהיג,רראע,מאה כ׳
עזירי,---,---,---
עזרא בן שלום עזרא,סופר,טוילה - מרכז תימן,מאה י״ד
עטואר,---,---,---
עטרי,---,---,---
"עכברי, יחיא",חכם,מרכז תימן,מאה י״זז
"עמר, יוסף בן אהרן",חכם באשי רביעי,צנעא,מאה י״ט־כ׳
"עמר, יוסף בן אהרן הלוי",חכם ומנקר התלמוד,צנעא - ירושלים,מאה כ׳
"עמר, יחיא",---,---,---
"עמר, יחיא בן משה",חכם,צנעא,מאה י״ח-י״ט
עמר בן סעדיה,סופר,קרית אלחיזי־גבל עמר,"מאה י""ט"
עמר בן סעדיה בן עמר,סופר,מאת כ׳,---
"עמר, סעדיה בן שלום הלוי",דיין,צנעא,מאה י״ז-י״ח
עמראן,נשיא שעב - מרכז תימן,---,מאה י״ט־כ׳
"עמראן, יחיא צאלח סאלם",חכם,דאר סעיד ־ דרום תימן,מאה כ׳
"עמראן, שלמה בן שלום",דיין,דאר סעיד - דרום תימן,מאה כ׳
עמרם בן טוביה,סופר,"מאת י ""ד",---
עמרם בן יהוחנן,חכם ונציג הגאונים,צערה ־ צפון תימן,"מאוח י׳- י ""א"
עמרם בן יצחק,דיין,צנעא,מאה ט״ז
"עמראני, סעדיה בן ישועה",סופר,מרכז תימן,מאה י״ט
"עמראני, סעדיה בן שלום",חכם!,---,מאה י״ט
"עמראני, שלמה בן יעיש",דיין,צעדה ־ צפון תימן,מאת י״ט־כ׳
"עמראני, שלמה בן שלום",רב עיר,יאפיד - מרכז תימן,מאה י״ח־י״ט
"עמרן, שלמה בן שלום",סופר,מרכז תימן,מאה י״ט
"ענסי, דוד בן חלפון",חכם,צנעא,מאה ט״ו
"ענסי, דוד בן סעדיה",מזמין כתיבת ספר,טוילה - מרכז תימן,מאה י״ר
"ענסי, חלפון בן דוד",סופר,טוילה־צברה - מרכז תימן,מאה ט״ו
"ענסי, סעדיה בן בניה",סופר,טוילה - מרכז תימן,מאה י״ר
"ענסי, סעדיה בן דוד",חכם,צנעא,מאה ט״ו
"עפגין, יוסף",חכם ומקובל,צנעא,מאה י״ט
"עפגין, יוסף בן זכריה הלוי",פייטן,---,מאה כ׳
"עפרי, אברהם בן יחיא",סופר,גמימת שהארה - ר׳מאר,מאה י״ט
"עפרי, מסעוד בן שלום",סופר,גמימה - ר׳מאר,מאה י״ט-ב׳
"עראקי, אהרן בן שלמה",רבו של מהרי״ץ,מאת י״ז-י״ח,---
"עראקי, זכריה בן שלום",חוקר שירה ושוחט,אלהג׳ר־ היראו -ת״א,מאה כ׳
"עראקי, חיים בן יחיא",ריין,צנעא,מאה י״ט־כ׳
"עראקי, יוסף בן מרי יחיא",חכם,צנעא,מאה י״ט
"עראקי, יוסף בן הנגיד ר׳ שלום",חכם,צנעא,מאה י״ח
"עראקי, יחיא בן חיים",חכם,כוכבאן ־ מרכז תימן,מאה י״ט־כ׳
"עראקי, פנחס בן שלמה",סופר,ד׳מאר - רדאע,מאה י״ז
"עראקי, פנחס בן שלמה",ראב״ד,צנעא,מאה י״וז
"עראקי, שלום בן אהרן אלאוסטא",נשיא קהילה,צנעא,מאת י״ז־י״ח
"עראקי, שלום בן דוד",סופר,צנעא,מאה י״ט
"עראקי, שלום חבקוק",רב קהילה,צפון תימן־רשל״צ,מאה י״ט־כ׳
"עראקי, שלום בן פנחס",רב שוחט ומנהיג,תימן - ראשון לציין,מאה י״ט- כ׳
"ערוסי, אברהם בן משה",ריין ומשורר,מחוית־ישראל,מאה י״ט־כ׳
"ערוסי, שמואל",רב קהילה,צנעא - שיבאס,אמצע מאה י״ס
"עריק, סעדיה בן משה",דיין,חבאן ־ דרום מזרח תימן,מאה כ׳
"ערקבי, אברהם בן צאלח",סופר,---,מאה י״מ
"ערקובי, צאלח",מנהיג,---,אמצע מאה כי
"ערשי, אברהם בן משה",חכם ומקובל,צנעא,מאה י״ס
"עתארי, יהודה",חכם,בני עוואם - ראש העין,מאה כ׳
"פדל-פצ׳ל, אהרן בן שלמה",ריין,רראע,מאה י״ח
"פוצ׳ייל, עואץ",חכם,צנעא,מאה י״ט־כ׳
"פיומי, דניאל",---,---,---
"פיומי, יעקב בן נתנאל",---,---,---
סעדיה,---,---,---
סעדיה,---,---,---
יוסף,---,---,---
סעדיה,---,---,---
"צאלח, חיים בן שלום",---,---,---
"צאלח, חיים בן שלמה",סופר,---,מאה י״ט
"צאלח, יוסף בן חיים",עאקל - ראש קהילה,מנאכ׳ח - מרכז תימן,מאה י״ט־כ׳
"צאלח, יחיא בן יהודה (ברטי)",ראש קהילה,צנעא,מאה י״ח־י״ט
"צאלח, שלמה בן שלום",ראב״ר קבוע עשירי ואחרון,צכעא,מאה י״ט
"צאלח, שמעון בן יחיא",רב אזורי בשרון ומו״ל ספרי מררי״ץ,צנעא ־ בני ברק,מאה כ׳
"צאנע, סעדיה בן מעודד",סופר,---,מאה י״ז
"צארום, דוד",כותב משלים,---,מאה י״ט־כ׳
"צארום, חלקיה בן מרי יחיא",מחכמי הישיבה,צנעא,מאה י״ט
"צבאחי, יחיא בן שלמה",מנהיג,אלחאז - מרכז תימן,מאה י״ט
צבארי,---,---,---
"צבלי, אברהם בן אברהם",חכם,מאוד י״ח,---
"צבלי, יהודה בן מעודד",סופר,בית רדם־חימה,מאה י״ז
"צברי, יחיא בן שלמה",חכם,---,מאה י״ט־כ׳
"צברי, יצחק",חכם ומקובל,---,מאה י״ט־כ׳
"צברי, יצחק בן יחיא",חכם,---,מאה י״ט
"צברי, שלמה בן שלום",מנהיג,קרית אלקאבל - מרכז תימן,מאה י״ח־ י״ט
צדוק,---,---,---
"צדוק, אברהם בן שלום",רב קרית בנימין ומבוני הקהילה,צנעא - ק׳ בנימין,מאה כ׳
צדוק בן עובדיה,משורר,צעדה - צפון תימן,מאה ט״ז
"צובארה, שלמה בן דוד",סופר,מגרבה בני חג׳אג' ־ צפון תימן,מאה י״ה
"צובירי, יוסף בן יעקב",---,---,---
"צובירי, מאיר בן ישראל",רב הישוב גדרה ומבוני הקהילה,צנעא-גדרה,מאה כ׳
"צובירי, מעודד בן סעדיה",רב קהילה ודיין,מזחאן־שרעב-ישראל,מאה י״ט־נ׳
"צובירי, שלום בן נתן",חכם,שרעב,מאה י״ט־כ׳
"צובירי, שלמה",חכם,צנעא,מאה י״ט
"צ׳וראני, עואץ בן שלום",---,---,---
"צ׳וראני, שלום בן עואץ",דיין,חרף אלהיגה - חוגריה - דרום תימן,מאה י״ט־כ׳
"צ׳זקיני, יהודה בן אברהם",חכם וסופר,כוכבאן - מרכז תימן,מאה י״ז
"ציח, סעדיה בן מעודד",סופר,---,מאה י״ט
"צירפי, יעקב בן מנחם",חכם,עדן,מאה י״ט־כ׳
"צנעאני, אברהם הלוי",רב קהילה,ביחאן - דרום מזרח רנימן,מאה י״ס־ כ׳
"צנעאני, יחיא בן אברהם (אבצ״ן)",משורר,רדאע,מאה י״ט - כ׳
"צנעאני, יעקב בן אברהם",סופר,מארז י״ח,---
"צנעאני, שלום יוסף",רב עיר,צנעא - ביחאן,מאת י״ס־כ׳
"צעדי, יחיא",---,---,---
"צעדי, יחיא בן מרי יהודה",דיין,צנעא,מאה י״ח-י״ט
"צעדי, יחיאל",רב קהילה,תימן - קוג׳ין - הודו,מאה י״ח
"צעדי, סעדיה בן שלמה",חכם,צנעא,מאה י״ז-י״ח
"צעדי, שלום",חכם,צנעא,מאה י״ז־י״ח
"צעדי, שלום בן סעדיה",דיין,צנעא,מאה י״ז
"צפירה, דוד",חכם,צנעא,"מאה י ""ט"
"צפירה־הפרצי, יוסף בן סעדיה",חכם וחסיד,תנעם - צנעא - ירושלים,מאה י״ט- כ׳
"צפירה, משה בן שלום",חכם,סוק,מאת י״ח
"צפירה, סעדיה בן יוסף",חכם,תנעם - מרכז תימן,מאה י״ט
"צפירה, סעדיה בן מעודד",סופר,---,מאה י״ז
"צפירה, שלום",ריין,תנעם - מרכז תימן,מאה כ׳
"צפירה, שלמה",רב עיר,תנעם - מרכז תימן,אמצע המאה הי״ט
"צפר, סעדיה בן דוד",---,---,---
"צפר, שלמה",דיין,רדאע,מאה י״ח
צ׳ראב,---,---,---
"צ׳רב, שחר",דיין,אבאס אנוב - שרעב,"מאה י""ט"
"צ׳ראב, שלום בן שלום",דיין,דמת ־ דרום תימן,מאה כ׳
"קאהרי, דוד",דיין,צנעא,מאה י״ח
"קאהרי, משה בן דוד",מנהיג,תנעם - מרכז תימן,מאה י״ט־כ׳
"קאפח, אברהם",מנהיג,ר׳מאר,מאה י״ט
"קאפח, דוד בן סעדיה",דיין,ירושלים,מאה י״ט־נ׳
"קאפח, חיים בן מרי חיים",רב עיר ונשיא קהילה,ירים - ראש העין,מאה כ׳
"קאפח, חיים בן משה",רב עיר ונשיא קהילה,ירים,מאה י״ט־כ׳
"קאפח, יוסף בן דוד",גדול פרשני חרמב״ם וגדול חכמי תימן בדור האחרון וחבר בי״ד הגדול,צנעא - ירושלים,מאה כ׳
"קאפח, יוסף בן סעדיה",דיין,צנעא,מאה י״ז
"קאפח, יחיא בן יחיא",ראב״ד,רצאבה ־ מרכז הימן,מאה י״ט־כ׳
"קאפח, יחיא בן שלום",דיין וסופר,ד׳מאר,מאה י״ט
"קאפח, יחיא בן שלמה","חכם באשי ומייסד תנועת ""דרדעה",צנעא,מאה י״ט־כ׳
"קאפח, יעיש בן יחיא",סופר,ר׳מאר,"מאה י""ט"
"קאפח, סעדיה",רב קהילה,קרית אלקאבל - מרכז תימן,מאה י״ט־כ׳
"קאפח, סעדיה בן דוד",מחכמי הישיבה,צנעא,מאה י״ט
"קאפח, סעדיה בן דוד",חכם,צנעא,מאה י״ט
"קאפח, שלום",חכם,צנעא - רוצ׳א,אמצע מאה י״ס
"קארה, יוסף בן יחיא",---,---,---
"קארה, שלמה בן מאיר",מנהיג,צנעא,מאה י״ט
"קארטה, שלום בן זכריה",סופר,בית עד׳אקות - מרכז תימן,מאת י״ז
"קבאלי, סעדיה בן שלום",סופר,אלנאבאת - מרכז תימן,מאות <״ז
"קדיס, סעדיה בן דוד",---,---,---
"קהא, סעדיה",דיין,צנעא,מאה י״ח
"קהא, שלום בן יחיא",חכם,ג׳חזאן ־ נאדרה,מאה כ׳
"קהלאני, יחיא",רב עיר,מנאכ׳א,מאה י״ט־כ׳
"קוביסי, חיים בן סעדיה",מנהיג,מעבר - מרכז תימן,מאה כ׳
"קולאצ׳ה, יעקב בן דוד",---,---,---
"קחזם, סעדיה",רב ומנהיג,בעדאן - דרום תימן,מאה י״ט־כ׳
"קטיעי, יחיא בן דוד",סופר,צנעא,מאה י״ח
"קטיעי, משה בן משה בן סעדיה",סופר,צנעא,מאה י״ז-י״ח
"קיסי, משה בן אהרן",סופר,---,מאה י״ח
"קיסי, משה בן שמריה",סופר,---,מאה י״ח
"קיפי, יחיא בן חיים",סופר,יאפיר-חימה - מרכז תימן,מאה י״ט
"קלזאן, שלום בן יוסף",חכם,צנעא - ירושלים,מאה י״ט־כ׳
"קלזאן, שלום בן שלום",חכם וראש ישיבה,צנעא - ירושלים,מאה כ׳
"קליעי, חסן יוסף בן יוסף",מקובל,אלגוירה ־ חוגריה - דרוס תימן,מאה י״ט
"קליעי, יוסף חסן סלימאן",מגדולי המקובלים,גמרה - חוגריה,"מאה י״ח- י ""ט"
"קליעי, עמרם בן מרי חסן יוסף",חכם,אלגמרה ־ חוגריה,מאה י״ט־כ׳
"קנזי, שלום בן עזרא",סופר,טוילה - מרכז תימן,מאה י״ד
"קעטבי, עואץ׳",דיין,אלצ׳אהרה,מאה י״ט
"קעטבי, שלום בן נסים",ראב״ד,צ׳אלע - רמת ישי,מאה כ׳
"קפרי, אהרן בן אפרים",רב קהילה,קפרח ־ מושב עזריאל - ת״א,מאה כ׳
"קרואני, יוסף בן חיים",ריין ורב קהילה,תנעם -מרכז תימן- אשקלון,מאה כ׳
"קרואני, יחיא בן יוסף",מנהיג,צנעא,מאה י״ס-ב'
"קרואני, יחיא בן משה",דיין,צנעא,מאה י״ח
"קרואני, שלמה בן יחיא",דיין,רצאבה - כפר סבא,מאה כ׳
"קרוהל, שמואל יחיא",מנהיג,ירים,מאה כ׳
"ראבעה, שלמה בן שלום",חכם,מראשוני המקובלים בתימן,מאה ט״ו־ט״ז
"רמצ׳אן, זכריה בן סעדיה",סופר,מעבר - מרכז תימן,מאה ט״ז
"רמצ׳אן, יהודה בן יהודה",סופר,צנעא,מאה י״ש
"רמצ׳אן, ישועה",משורר,---,"דלאג/ מאה י""ח"
"רמצ׳אן, סעדיה בן דוד",סופר,רלאג׳ - מרכז תימן,"מאה י ""ז"
"רמצ׳אן, שלום בן יחיא",מנהיג,צנעא - ירושלים,מאה י״ש
"רצאבי, דוד",חכם,צנעא,מאה י״ח-י״ט
"רצאבי, יהודה בן משה",חכם,צנעא,מאת י״ח-י״ט
"רצאבי, יוסף בן שלמה",דיין,רצ׳אי ־ מחוז עמאר,מאת כ׳
"רצאבי, שלמה",דיין,רצ׳אי,מאה כ׳
רצון סולימאן,סופר,מחוז רדאע,"מאה י""-ז"
רצון בן רצון,דיין וראב״ד,אכאם אנוב - שרעב,מאה י׳יט־כ׳
רצון בן רצון יחיא,סופר,נחמה - חוגריח - חולון,מאה כ׳
"שאול, יוסף",רב קהילה,מרן,מאה י״ט ־ כ׳
שאער,---,---,---
"שאער, יהודה שלמה",מנהיג,כפר צורם אלביצ׳א,מאה י״ט־כ׳
"שאער, סעדיה בן דוד",רב קהילה,ירים ־ איב - חררה,מאה כ׳
"שאער, שלום",ראש קחילח,חג׳ח ־ מרכז תימן,מאה כ׳
שבזי,---,---,---
"שבזי משתא, ישראל בן יוסף",חכם וסופר,כפר אעראן - תעיז ־ שרעב,מאה
"שבזי, ישראל",סופר,---,מאה י״ט-כ?
"שבזי, שלום בן יוסף",---,---,---
"שבזי-משתא, שלום בן יחיא",סופר,---,מאה י״ח
שוכר בן שלמה,סופר,ועלאן - מרכז תימן,מאה י״ט
"שוכרי, שלום בן שלום",---,---,---
"שונרי, שלום בן שלום",סופר,אלצ׳אלע - דרום תימן,מאה י״ט
"שחב, אברהם בן סעדיה",מחכמי הישיבה,צנעא,מאה י״ט
"שחב, יחיא",חכם,כ׳ולאן - מרכז תימן,מאה י״ט־כ׳
"שחב, שלום בן מנשה",מחכמי הישיבה,צנעא,מאה י״ט
"שיחאני, יוסף בן שלום",סופר,ג׳הים מואדי מלח,מאה י״ז
שיך,---,---,---
שילה בן טוב,ריין,ערן,מאה י״ס
"שיראדי, סעדיה בן יפת",סופר,---,מאה ט״ז-י״ז
שכרי,---,---,---
שלום,רב קהילה,אלסודה ־ מרכז תימן,מאה י״ט
שלום,רב קהילה,ממר ־ מרכז תימן,מאה י״ט
שלום,דיין,אלחביל - דרום תימן,מאה י״ט־כ׳
שלום,דיין,אלצ׳לאע ־ דרוס תימן,מאה י״ט־כ׳
שלום,דיין,מלחה - דרום תימן,מאה י״ט־נ׳
שלום בן אברהם,דיין,דמת ־ דרום תימן,מאה י״ט־כ׳
שלום בן אברהם,רב קהילה,בעדאן - דרום תימן,מאה י״ט־כ׳
שלום בן אברהם,חכם וסופר,---,מאה י״ט־כ׳!
שלום בן אברהם בן משה,סופר,---,מאה י״ח־י״ט
שלום בן אברהם בן סעדיה,סופר,אלשאהל,מאה י״ט
שלום בן אברהם בן צאלח,סופר,מרכז תימן,מאה י״ט
שלום בן אהרן,מנהיג,---,מאה י״ח-י״ט
שלום בן אהרן,דיין,אלחביל - דרום תימן,מאה כ׳
שלום בן אהרן,דיין,ד׳רח - שרעב,מאה כ׳
שלום בן דוד,דיי[,עורן - שרעב,מאה י״ט־כ׳
שלום בן חיים,סופר,---,מאה י״ט
שלום בן חיים,מנחיג,מלכד - בעדאן,מאה כ׳
שלום בן חיים,סופר,יחוד,מאה כ׳
שלום בן חיים בן משה,ריין,עמאר ־ סרה - רחובות,מאה כ׳
שלום בן חסן,סופר,---,מאה כ׳
שלום בן יוסף,---,---,---
שלום בן יוסף בן יחיא,משורר,---,מאה ט״וז
שלום בן יחיא,סופר,---,מאה י״ט
שלום בן יחיא,רב קהילה,חג׳ה ־ מרכז תימן,מאה י״ט
שלום בן יחיא,סופר סת״ם,נחמה - חוגריח,מאה י״ט־נ׳
שלום בן יחיא,דיין,ביצ׳א - דרום מזרח תימן,מאה כ׳
שלום בן יחיא,דיין,אלצ׳אלע ־ דרום תימן,מאה כ׳
"שלום, יחיא בן סעיד",מנהיג,סדה - דרום תימן,מאה כ׳
שלום יעקב,---,---,---
שלום בן יצחק,סופר,ד׳מאר,מאה י״ז
שלום ישעיה,דיין,רדאע,מאה י״ט
שלום בן מנחם בן יעקב,ראב״ד,עדן,מאה כ׳
שלום בן משה,דיין,דמת - דרום תימן,מאה י״ט
שלום בן משה,דיין,חבאן - דרום מזרח תימן,מאה כ׳
שלום בן מת׳נא,סופר,צומעה - דרום מזרח תימן,מאה י״ט
שלום בן מת׳נא,דיין,אלביצ׳א ־ דרום מזרח תימן,מאה כ׳
שלום בן נסים,ראב״ד,צ׳אלע ־ דרום תימן,מאה כ׳
שלום בן סעדיה,דיין,צנעא,מאה ט״ז
שלום בן סעדיה,חכם,מרכז תימן,מאה י״ט
שלום סעדיה,ריין,שרעב,מאה י״ט׳כ׳
שלום בן סעדיה בן דוד,סופר,עמראן - מרכז תימן,מאה י״ז
שלום עואץ,ריין,אלחביל - דרום תימן,מאה י״ט־כ׳
שלום עואץ בן שלום,רב קהילה,רת׳ינה ליד חבאן,מאה י״ט־כ׳
שלום עודד,ריין,רמת - דרום תימן,מאה י״ט
שלום בן עמרם,דיין,צנעא,מאה ט״ז
שלום בן עמרם,ראש קהילה,בני צועמאן - חוגריה,מאה כ׳
שלום בן צדוק,---,---,---
שלום בן צמח,נציג הגאונים,---,מאה י׳-י״א
שלום בן שלום,דיין,גחאף - דרום תימן,מאה י״ט־כ׳
שלום בן שלמה,דיין או מנהיג,צנעא,מאת ט״ז
שלום בן שלמה,דיין,כיאריא - דרום תימן,מאה י״ט־כ׳
שלמה,דיין,חוביש - דרום תימן,מאה כ׳
שלמה בן אברהם,משורר,---,"מאה י״ז - י ""ט"
שלמה אברהם בן סעיד,סופר,---,"מאה י""ט"
שלמה בן בניה,חכם,צנעא,מאה י״ד
שלמה בן ברהין,---,---,---
שלמה בן דוד,מצהיג,בית סלם - חימה,מאה י״ח
שלמה בן דוד בן מימון,מזמין כתב יד,טוילה - דרום תימן,מאה י״ר- ט״ו
שלמה בן דוד בן עמרם,חכם וסופר,---,מאה י״ד
שלמה אלחכים,חכם,חבאן - ררום מזרח הימן,מאה ט״ז
שלמה בן יהודה בן זכריה,סופר,---,מאה י״ז-י״ח
שלמה בן יוסף,נשיא שרעב,כפר ראני ־ שרעב,מאה י״ט־כ׳
שלמה בן יעקב יהודה,פייטן,רצאבה ־ מרכז תימן,מאה י״ז
שלמה בן ישראל,סופר,---,"מאה י""ז"
שלמה הסופר,חכם,צנעא?,מאה י״ז?
שלמה בן מעוצ׳ה,חכם,חבאן ־ דרום מזרח תימן,מאה י״ח
שלמה בר נתן,ראב״ד,עדן,מאה י״ב
שלמה בן סעדיה,---,---,---
שלמה בן סעדיה,סופר,---,מאה י״ט
שלמה בן סעדיה,---,---,---
שלמה בן סעדיה,דיין,עוזלה ־ בעדאן,מאה כ'
שלמה בן סעדיה בן שלום,סופר,---,מאה ט״ז
שלמה בן סעדיה בן שלמה,סופר,---,מאה י״ז
שלמה בן שלום,חכם,---,מאה ס״ז-י״ז
שלמה בן שלום,סופר,---,מאה י״ט
שלמה בן שלום,מנהיג,ג׳בלה - דרום תימן,מאה כ׳
שלמה בן שלמה,דיין,אלצ׳אלע - דרום תימן,מאה כ׳
"שמאך־רם, סעדיה בן שלום",חכם,חבאן,מאה י״ח
שמואל בן חיים,ריין וראב״ד,תעזייה ־ שרעב,מאה י״ט~כ׳
שמואל בן משה,דיין,עדן,מאה י״ט
שמואל בן משה בן אלעזר,דיין,עדן,מאה י״ב
