שם,תפקיד,עיר,תקופה
"היטלי, נתן",ראב״ר,כזיעה - שרעב,מאה כ׳
הלל בן מנצור,סופר,צנעא,תחילת מאה י״ר
"המלמד, שלמה בן שלום",חכם,ד׳מארי,מאה י״רי
"הררי־ג׳יבלי, שלום בן יוסף",חכם ופעיל ציבור,ירים - ת״א - חולון,מאה כ׳
"השאש, יוסף",ממנהיגי הקהילה ביפו,---,תחילת המאה הכ׳
"השאש, יחיא בן יעיש",רב קהילה,צ׳ו-בר ־ מחוית,מאה י״ט־כ׳
"השאש, שלום בן יהודה",מנהיג,צנעא,מאה י״ט־כ׳
"ואדעי, אפרים בן שלום",---,---,---
"וגים־עוזרי, שלום בן יחיא",מנהיג וסופר,סדה - דרום תימן,אמצע מאה כ׳
"והב, אברהם",עאקל ומנהיג,בית עד׳אקה ־ תל אביב,מאה כ׳
והב בן חסן,נשיא מחוז מזאחן ובני זהור ־ סרה,---,מאה י״ט־כ׳
"והב, חסן נסים בן דוד",דיין,ד׳י סופל ־ שרעב,מאה י״ט־כ׳
"והב, לוי בן אברהם",חכם ועסקן ציבור,צנעא,"מאה י""מ"
"והב, סעדיה בן חטר",ראב״ד,רראע,אמצע מאה י״ח
"ויב, סעדיה בן אברהם",ריין,אלצ׳אהרה - רמת,מאה י״ט
"ונה, שלום בן שלמה",סופר,ג׳ראנה - דרום תימן,"מאה י""ט"
"ושצ׳י, יוסף בן שלום",סופר,---,מאה י״ט
"ושצ׳י, שלום נסים",חכם ומנהיג,ד׳מאר,אמצע מאה כ׳
"זביב, יחיא",ראב״ד,שיבאס וכוכבאן - מרכז תימן,מאת י״ט־כ׳
"זביב, שלמה בן יחיא",מרי הישוב ת׳לא - מרכז תימן,מאת י״ט־כ׳,---
זכריה,דיין,גחאף - דרום תימן,תחילת מאה כ׳
זכריה בן אברהם,מנהיג,ציח ־ מרכז תימן,מאה י״ז
זכריה בן זכריה,סופר,---,מאה י״ט
זכריה בן זכריה בן יוסף,סופר,---,מאה י״ט־כ׳
זכריה בן חטר,סופר,---,מאה י״ט
זכרית בן יוסף,סופר,צנעא,מאה ט״ז
זכריה בן סעדיה,סופר,צלבי שבואר* עאשר,מאה ט״ז
זכריה בן סעדיה,סופר,גוב - רחבה,מאוח י״ז
זכריה בן סעדיה,סופר,---,מאה י״ז
זכריה בן סעדיה,סופר,מעבר - מרכז תימן,מאה י״ז
זכריה בן סעדיא בן יוסף,דיין,צנעא,מאה ט״ז־י״ז
"זכריה, עואץ בן צאלח",מנהיג,ביצ׳א,אמצע מאה כ׳
זכריה בן שלום,מימן כח״י,צנעא,מאה ט״ז
"זכרית, שלום בן צאלח",דיי(,ביצ׳א,מאה כ׳
זכרית בן שלמת,דיין,צנעא,מאה י״ז
"חאוי, יחיא בן יוסף",---,---,---
"חאזי, יורם",חכם,מרכז תימן,מאה י״ט
"חאזי, נתן בן יהודה",חכם,---,"מאה י""ס"
"חאזי, סעדיה בן שלום",מנהיג,ערוס - מרכז תימן,מאה י״ט
"חאצ׳רי, יהודה בן ציון",חכם וסופר,כוכבאן ־ מרכז תימן,מאה י״ח-י״ט
"חאצ׳רי, מנחם בן יוסף",חכם!,כוכבאן - מרכז תימן,מאה י״ט־כ׳
"חאצ׳רי, ציון בן יוסף",סופר,כוכבאן ־ מרכז תימן,מאה י״ט
"חאצ׳רי, שוכר בן יהודה",ראב״ר ורב ראשי,כוכבאן ־ מרכז תימן,מאה י ׳7ט
"חאצ׳רי, שלום בן שוכר",רב קהילה,כוכבאן ־ מרכז תימן,מאה י״ט־כ׳
"חבאני, גיאת בן יחיא",סופרז,---,אמצע מאה י״ז
"חבשוש, אברהם",חכם,תימן - ירושלים,מאה י״ט־כ׳
"חבשוש, חיים בן שלום",חכם ודיין,שליח בי״ד צצעא,מאה י״ט
"חבשוש, יחיא בן שלום",חכם,צנעא,מאה י״ט
"חבשוש, שוכר בן יחיא",חכם,צנעא,מאה י״ט
"חבשוש, שלום בן יהודה",מחכמי הישיבה הכללית,צנעא,מאה י״ט
